uniqueID,x,y,long,lat,Slope,Aspect,CAC,CEC,CLA,SAN,SIL,WAT,mean.SWI,Hydric,Floodplain,totalPPT,MeanTEMP,direction
4744,844114.1415,276637.113,-85.0417427221633,39.0393622966028,3.90643835067749,101.309928894043,3.36945819854736,16.4334983825684,33.7389144897461,32.0098533630371,34.2512321472168,28.4400005340576,6.988256931,No,No,1047.496809,12.31577804,E
4743,844082.8508,275831.9405,-85.0418959379547,39.0320744583715,6.91447782516479,83.6598052978516,19.4605255126953,14.0657892227173,20.8552627563477,50.4802627563477,28.6644744873047,12.9499998092651,5.822678566,No,Yes,1055.357208,12.34123652,E
4742,844056.8908,275031.0701,-85.0419889388544,39.024826501522,18.8514595031738,295.559967041016,2.42888569831848,22.8460292816162,40.0093421936035,8.7819128036499,51.2087440490723,7.72749996185303,6.350917339,No,No,1055.357208,12.34123652,W
4741,844030.9307,274230.1997,-85.0420819195852,39.0175784448442,3.25190258026123,45,0,17.5221672058105,39.7733993530273,17.369457244873,42.8571434020996,25.6399993896484,7.906066895,No,No,1055.357208,12.34123652,E
4740,844005.7714,273406.0673,-85.0421597081095,39.0101200713762,0,NA,0,11.5172414779663,21.4236450195312,19.3990154266357,59.1773414611816,25.5900001525879,10.10336304,No,No,1055.357208,12.34123652,NS
4739,843980.612,272581.9349,-85.0422374794388,39.0026615920487,2.42498207092285,108.434951782227,0,17.5221672058105,39.7733993530273,17.369457244873,42.8571434020996,25.6399993896484,10.02500439,No,No,1055.357208,12.34123652,E
4738,843953.9424,271786.0825,-85.042339838898,38.9954584698474,5.40953350067139,351.869903564453,0,17.5221672058105,39.7733993530273,17.369457244873,42.8571434020996,25.6399993896484,6.191624641,No,No,1055.357208,12.34123652,N
4737,843927.2727,270990.2301,-85.0424421761998,38.9882552486903,9.90457820892334,147.52880859375,1.66666662693024,26.1499996185303,49.5,3,47.5,6.90000009536743,4.308804035,No,No,1061.608439,12.42755043,S
4736,843899.3041,270185.7583,-85.0425572020277,38.9809737092118,18.9320945739746,141.340194702148,2.42888569831848,22.8460292816162,40.0093421936035,8.7819128036499,51.2087440490723,7.72749996185303,4.390813828,No,No,1061.608439,12.42755043,S
4735,843871.3355,269381.2864,-85.0426722013613,38.9736920675318,6.30182266235352,345.963775634766,3.764875758,20.28351883,36.07629314,15.78616974,48.13753598,15.27941205,7.836452961,No,No,1061.608439,12.42755043,N
4734,843839.2173,268598.9696,-85.0428405162576,38.9666098710946,10.1302289962769,347.00537109375,0,18.0197048187256,41.1674880981445,19.6403942108154,39.1921195983887,23.4300003051758,5.772380829,No,No,1061.608439,12.42755043,N
4733,843807.099,267816.6527,-85.0430087946153,38.9595275775909,4.46505689620972,59.0362434387207,1.55172419548035,25.4482765197754,49.0862083435059,3,47.9137916564941,7.67999982833862,5.831369877,No,No,1061.608439,12.42755043,E
4732,843780.4181,267081.9342,-85.0431268014547,38.9528768069725,1.53424298763275,180,0,17.5221672058105,39.7733993530273,17.369457244873,42.8571434020996,25.6399993896484,6.776462555,No,No,1061.608439,12.42755043,S
4731,843753.7372,266347.2158,-85.0432447835295,38.9462259524465,20.6028118133545,94.0856170654297,2.42888569831848,22.8460292816162,40.0093421936035,8.7819128036499,51.2087440490723,7.72749996185303,8.294225693,No,No,1067.826675,12.35405435,E
4730,843720.2518,265546.2978,-85.0434238885703,38.9389748570097,21.3048305511475,164.054611206055,2.42888569831848,22.8460292816162,40.0093421936035,8.7819128036499,51.2087440490723,7.72749996185303,5.6752491,No,No,1067.826675,12.35405435,S
4729,843686.7664,264745.3798,-85.0436029525999,38.931723660444,16.6705474853516,169.695159912109,1.55172419548035,25.4482765197754,49.0862083435059,3,47.9137916564941,7.67999982833862,4.926428318,No,No,1067.826675,12.35405435,S
4728,843657.9522,263938.7284,-85.0437268893599,38.9244214458446,2.42498207092285,108.434951782227,19.4605255126953,14.0657892227173,20.8552627563477,51.3026313781738,27.8421058654785,11.7000007629395,7.934262753,No,No,1067.826675,12.35405435,E
4727,843629.138,263132.0769,-85.0438507975226,38.9171191277767,19.1977043151855,292.619873046875,1.55172419548035,25.4482765197754,49.0862083435059,3,47.9137916564941,7.67999982833862,5.519976616,No,No,1067.826675,12.35405435,W
4726,843601.2621,262338.4476,-85.0439672480428,38.909934690304,17.1348915100098,304.380340576172,1.55172419548035,25.4482765197754,49.0862083435059,3,47.9137916564941,7.67999982833862,3.922767401,No,No,1067.826675,12.35405435,W
4725,843573.3862,261544.8182,-85.0440836721313,38.9027501524918,12.4990348815918,154.983108520508,2.42888569831848,22.8460292816162,40.0093421936035,8.7819128036499,51.2087440490723,7.72749996185303,6.036674976,No,No,1076.901896,12.25208016,S
